priority,days_until_deadline,hours_remaining_ratio,deadline_pressure,session_count,days_since_active,user_completion_rate,user_abandon_rate,category_completion_rate,avg_pauses_per_task,avg_effort_accuracy,avg_session_duration,label_at_risk
3,26.64,0.3253,9.0096,7,12,0.8254,0.5069,0.249,4.6136,0.6345,11.3902,1
4,9.8,0.7482,8.0667,9,2,0.9976,0.1449,0.0404,3.2895,0.7602,2.6911,1
2,9.38,0.6543,2.3202,5,14,0.7644,0.3742,0.7623,0.3115,2.1742,74.3431,0
2,18.74,0.8644,5.8694,3,12,0.6383,0.4398,0.6761,1.1075,1.6577,68.3381,1
2,18.56,0.6331,4.6929,11,1,0.6495,0.4826,0.7151,4.7453,0.6067,54.5717,0
3,20.33,0.3731,9.4169,11,4,0.0544,0.3866,0.9742,0.5584,1.6094,89.7353,1
2,1.27,0.5797,4.5291,13,13,0.0606,0.4112,0.025,1.3715,1.4072,54.5847,1
3,27.31,0.639,9.5354,12,12,0.5845,0.5003,0.6426,0.6285,1.9811,11.389,1
1,6.92,0.9157,6.1631,15,13,0.659,0.1267,0.863,7.0887,0.8933,88.4911,1
2,24.08,0.9972,0.3003,9,0,0.6226,0.584,0.465,6.7791,0.6248,40.2335,0
4,2.55,0.3856,0.7103,11,9,0.2294,0.2815,0.2686,0.8078,0.835,17.6731,0
4,22.78,0.9678,4.3974,7,10,0.3263,0.1796,0.2325,1.0374,1.0129,42.6384,1
2,24.27,0.1469,3.4265,1,14,0.3024,0.338,0.8038,1.0972,1.6614,60.6611,1
1,18.72,0.2736,4.8783,16,0,0.4596,0.1839,0.8224,0.4558,1.3372,55.0118,0
3,23.31,0.8622,3.1388,6,12,0.9895,0.5337,0.3715,1.5613,1.4788,88.997,1
2,14.5,0.8382,3.614,2,1,0.1232,0.4191,0.4161,4.1108,2.3066,106.786,1
3,15.39,0.8696,4.0278,6,7,0.3722,0.397,0.1412,4.567,0.8705,33.4372,1
2,5.49,0.8257,2.8571,5,7,0.5588,0.2227,0.7856,2.0224,2.3778,107.2782,1
2,10.13,0.9885,0.2524,19,6,0.5889,0.451,0.6235,4.8023,0.607,45.1836,0
2,7.96,0.5543,1.9951,7,1,0.9485,0.5668,0.6099,7.3962,2.0716,70.7937,0
3,15.39,0.7041,9.3517,17,12,0.7081,0.2854,0.6744,6.1031,0.5909,77.5921,1
2,20.1,0.4683,7.7355,19,13,0.5512,0.2629,0.8392,1.2854,0.5499,53.8847,1
3,8.43,0.1735,3.7975,7,9,0.3921,0.4505,0.1255,6.1822,0.9739,81.2872,1
2,27.87,0.3873,0.6617,4,12,0.8269,0.3148,0.7752,1.8754,1.1902,3.6125,0
4,7.96,0.6115,6.785,5,11,0.8481,0.5683,0.8849,5.9125,1.0549,33.7939,1
4,0.31,0.716,7.0625,13,2,0.3119,0.204,0.0789,3.5424,1.0221,41.2064,1
4,1.85,0.0924,1.6279,11,14,0.1505,0.5808,0.4467,4.0121,0.9933,56.5152,0
3,22.54,0.7539,5.7789,2,7,0.8174,0.4542,0.0556,0.055,0.9249,79.6228,0
3,26.87,0.9092,3.1388,15,0,0.4401,0.4378,0.9402,4.8304,2.2263,98.6994,0
1,14.57,0.1169,6.8215,13,3,0.7339,0.3793,0.5836,3.121,1.2103,5.4299,0
3,15.69,0.6997,4.1086,9,8,0.9427,0.0496,0.2539,6.2399,0.6975,9.0793,0
2,2.77,0.5851,2.2628,15,1,0.7389,0.0195,0.6587,4.2583,0.7065,20.7029,0
4,24.56,0.9836,2.5967,14,1,0.0503,0.0317,0.692,3.6634,0.953,73.6764,1
2,17.33,0.3592,8.2355,16,5,0.4774,0.2105,0.3626,6.4457,1.1564,25.0871,1
2,25.23,0.2212,3.8099,14,5,0.7619,0.4689,0.2758,1.634,0.5335,81.5039,0
1,12.62,0.6017,9.3711,19,5,0.1612,0.3938,0.9712,4.4975,1.9295,8.2141,1
3,28.15,0.6618,0.768,18,3,0.5507,0.2419,0.8336,6.5174,1.7237,44.815,0
2,3.18,0.3549,4.1317,13,4,0.0701,0.2372,0.1818,1.2545,2.1546,5.0298,0
3,16.71,0.2314,5.0243,10,14,0.9581,0.1323,0.8862,7.4744,2.3328,76.2497,0
3,12.1,0.7524,5.3129,4,4,0.4285,0.4389,0.8245,1.1715,2.1659,64.8356,1
2,27.45,0.2512,8.4421,7,9,0.5141,0.1851,0.573,2.6017,0.5785,32.6398,1
1,29.35,0.9657,3.9516,8,2,0.3458,0.4027,0.8054,7.574,1.3004,93.9958,0
3,20.64,0.1204,9.3853,9,2,0.8871,0.2519,0.4969,7.3355,2.0526,15.6602,0
2,13.27,0.7972,7.2423,13,9,0.3405,0.483,0.0524,1.277,1.1712,9.2169,1
4,9.14,0.2645,2.7989,1,11,0.0359,0.5561,0.2137,3.36,0.5194,102.9546,1
3,28.4,0.7816,3.1371,14,9,0.5884,0.2386,0.9738,4.3536,1.0505,85.1327,0
2,16.5,0.0506,4.2612,10,0,0.2218,0.1905,0.2594,0.7007,0.6798,23.1899,0
1,18.79,0.2873,2.7975,13,9,0.6628,0.5224,0.7591,5.8202,1.4688,83.2567,0
2,8.89,0.9108,5.4741,5,14,0.3611,0.2451,0.6797,0.4534,0.5693,47.0293,1
3,5.8,0.6415,2.5983,19,3,0.3119,0.0733,0.1111,5.1848,2.2502,94.8625,0
1,1.36,0.6564,5.3515,3,12,0.9898,0.018,0.4445,4.037,0.7346,20.2874,0
2,22.85,0.5071,6.379,1,10,0.4112,0.2565,0.3303,4.5139,2.2011,24.1834,1
3,16.69,0.7795,0.162,17,11,0.0401,0.5339,0.992,2.3525,0.9206,91.8436,1
2,25.97,0.1028,1.2596,7,1,0.6738,0.5081,0.3243,5.4119,1.6885,72.378,0
2,8.28,0.7686,2.2627,9,7,0.3238,0.3967,0.6522,2.0086,1.8009,25.4801,1
1,21.04,0.1134,9.9691,1,11,0.332,0.2792,0.0137,0.6528,1.0172,3.3423,1
2,5.24,0.2959,6.6382,13,1,0.0504,0.5342,0.5769,4.5114,1.5006,8.3273,1
1,18.03,0.341,9.1727,11,5,0.1433,0.4288,0.2934,4.2038,1.8957,108.0317,1
3,28.38,0.2958,0.0111,15,10,0.9243,0.1955,0.1278,3.5389,0.5849,82.1551,0
4,25.12,0.1274,1.2627,14,11,0.9243,0.2764,0.499,2.5461,2.2885,77.3883,0
3,0.41,0.3227,5.5436,13,5,0.0921,0.4892,0.8944,6.5889,2.2976,66.3734,0
3,11.52,0.6663,9.8884,7,6,0.48,0.0828,0.081,6.6378,2.4536,48.567,1
2,14.29,0.3183,4.8904,19,5,0.5923,0.4168,0.3647,5.908,1.8332,14.3474,1
2,7.7,0.8041,4.2594,18,5,0.0925,0.4682,0.6737,6.14,1.1151,59.0465,1
2,16.53,0.5236,2.8226,10,12,0.5414,0.0516,0.057,0.8439,1.6712,65.3214,1
2,19.13,0.8201,0.4158,10,2,0.6893,0.1514,0.3078,4.9091,2.2959,97.1909,0
2,19.23,0.4662,1.8994,5,13,0.3373,0.5649,0.5297,5.8591,2.3482,117.0216,1
3,9.09,0.9665,6.2812,16,6,0.4542,0.2474,0.9347,2.007,0.7409,70.1452,1
1,10.18,0.5059,1.6192,16,2,0.4517,0.2128,0.4007,0.9212,2.2665,49.7791,0
2,19.79,0.442,6.4823,5,6,0.415,0.4383,0.1354,1.5811,0.861,31.4965,1
3,8.92,0.1625,6.7562,3,0,0.62,0.4189,0.2149,0.3357,1.2273,11.8313,0
1,7.63,0.2955,5.2997,10,10,0.5928,0.089,0.1721,7.0302,1.6167,104.3925,1
2,9.57,0.4699,5.0249,10,1,0.6301,0.4972,0.7835,2.2166,2.3818,14.9215,0
3,29.13,0.1772,7.2207,7,7,0.4054,0.3098,0.5806,7.4875,1.8445,57.7534,0
2,19.32,0.381,0.5457,2,6,0.9024,0.2299,0.2163,3.5406,0.5967,98.4585,0
3,17.64,0.3531,7.9978,1,11,0.9354,0.2797,0.4454,0.1165,0.9948,103.9551,0
1,14.35,0.021,8.1961,4,6,0.7877,0.17,0.8372,4.344,1.2476,75.0396,0
1,4.29,0.7423,2.4416,2,5,0.3851,0.5129,0.9524,7.0685,1.0412,23.2995,0
1,16.6,0.5204,9.9458,8,11,0.2581,0.0681,0.9175,6.2225,2.1447,108.3317,1
2,13.54,0.3304,5.8921,7,7,0.4516,0.5622,0.984,6.3719,2.0135,81.667,1
1,27.84,0.0911,2.859,18,7,0.4108,0.2938,0.4154,0.192,1.1707,21.2499,0
1,28.7,0.5994,7.2866,15,6,0.3931,0.1422,0.097,1.4323,2.095,81.3055,0
4,2.18,0.2806,3.4994,10,2,0.9925,0.1444,0.8743,6.645,0.9493,47.9199,0
2,29.35,0.1809,7.9916,17,11,0.7309,0.252,0.5784,6.6609,2.1083,103.9708,1
1,12.47,0.5486,4.0274,15,11,0.6755,0.2376,0.133,1.2699,2.3985,105.5522,0
4,29.75,0.2083,3.5544,10,10,0.4184,0.2147,0.5938,4.6047,0.8229,56.6088,1
2,22.27,0.0252,3.5483,17,3,0.6993,0.1983,0.7447,3.2992,0.8915,61.581,0
1,13.22,0.3173,9.1196,16,11,0.5137,0.1729,0.0065,3.9699,1.0713,88.153,1
4,5.23,0.4716,0.9142,17,0,0.3616,0.0752,0.2536,5.1367,1.0511,59.3425,0
1,17.64,0.3161,6.2697,18,8,0.7499,0.5478,0.5721,1.4463,1.0376,23.8373,0
2,17.64,0.4265,6.1542,15,10,0.0878,0.1031,0.5181,1.712,1.0666,48.0375,1
3,0.42,0.6494,6.6888,8,9,0.9328,0.0121,0.1538,7.0894,1.417,67.7509,1
4,29.91,0.7202,2.8722,7,2,0.0492,0.1386,0.8974,2.0495,0.9413,16.575,1
3,15.0,0.6749,2.3907,8,3,0.5122,0.4083,0.9317,4.963,2.1075,10.047,0
3,4.54,0.1519,3.2856,16,12,0.6717,0.4376,0.5751,1.6545,1.5089,37.4628,0
2,19.36,0.7452,2.3222,18,13,0.1986,0.47,0.9093,2.9619,2.0026,107.6394,1
4,11.3,0.3392,0.6243,14,5,0.109,0.1491,0.3169,6.4706,2.251,36.296,0
3,25.72,0.7647,1.467,17,6,0.8533,0.1969,0.0538,5.3549,0.9626,29.2285,0
1,0.15,0.4454,0.8426,6,13,0.9436,0.5228,0.2894,6.2657,2.1065,118.3876,0
2,2.46,0.6468,6.2498,2,5,0.3071,0.5158,0.9595,1.7417,0.6763,23.3442,1
3,12.05,0.5778,3.0787,16,2,0.7931,0.5887,0.9325,7.4709,1.3044,56.2548,0
3,27.67,0.142,3.0424,19,6,0.612,0.1838,0.3261,0.5673,1.1996,103.4996,0
3,25.9,0.1323,9.7759,19,0,0.2215,0.0337,0.2556,4.2205,0.8432,20.0952,0
2,1.0,0.1219,4.1586,13,7,0.3968,0.2844,0.4513,6.9534,1.5601,56.1577,1
3,25.6,0.6735,1.3736,15,9,0.0461,0.5585,0.6608,5.9709,1.1231,101.4784,1
2,0.05,0.3764,5.7076,8,4,0.8621,0.0632,0.5538,4.1038,1.0628,98.6674,0
3,21.68,0.2318,7.0556,3,3,0.2422,0.0438,0.744,5.688,0.969,89.9255,1
4,3.24,0.2326,7.5026,16,12,0.0812,0.2713,0.7391,5.4921,2.1301,105.2943,1
1,16.05,0.0377,8.0807,17,9,0.5624,0.1677,0.7825,7.092,1.2973,103.5507,1
2,16.04,0.8588,3.2588,9,2,0.1219,0.011,0.9041,0.5492,2.4838,114.1676,0
1,12.84,0.0614,2.2392,10,3,0.8079,0.4424,0.537,6.72,1.1786,85.0679,0
4,9.44,0.674,8.4431,2,7,0.2836,0.1958,0.0208,6.0871,0.5855,103.7583,1
1,13.2,0.4829,2.1229,0,3,0.9348,0.5455,0.8196,7.1055,0.8984,34.1021,0
2,11.31,0.3933,5.4456,6,2,0.7009,0.1166,0.4472,6.6386,1.8095,49.3445,0
2,23.79,0.2205,1.8596,12,6,0.2609,0.5818,0.7347,5.5968,2.2059,13.8988,0
3,15.11,0.8292,5.0814,5,6,0.4777,0.2869,0.768,5.0285,1.7665,54.0339,1
3,20.9,0.9241,8.2032,13,3,0.6356,0.2136,0.1485,4.7717,2.1288,45.8548,1
1,5.9,0.2375,2.999,11,7,0.5865,0.3156,0.7593,5.7013,0.8863,56.557,0
2,12.39,0.1993,4.1237,0,10,0.0557,0.3659,0.2408,3.0945,0.6612,17.6596,1
2,2.69,0.9108,0.0605,8,3,0.9261,0.097,0.9658,1.6464,1.9831,65.6013,0
2,5.86,0.1662,9.1649,17,0,0.3721,0.4559,0.3388,7.6165,1.9759,71.6915,1
3,1.49,0.2571,4.6504,4,6,0.7439,0.5515,0.4238,2.7371,2.4231,53.3823,0
4,17.07,0.7622,8.1181,2,10,0.7963,0.4998,0.9858,6.3303,1.7028,40.7064,1
2,1.23,0.7448,4.4596,9,5,0.6738,0.2702,0.749,2.8559,1.7695,22.3704,0
2,8.76,0.7486,4.826,2,3,0.5314,0.2375,0.6132,6.4448,1.0993,115.4523,1
2,18.55,0.6807,6.6673,15,3,0.0538,0.0133,0.358,2.6693,1.2754,16.6042,1
4,14.77,0.7009,8.5555,13,2,0.3416,0.3891,0.0684,7.1792,0.7388,39.3411,1
3,17.92,0.3936,4.7344,15,2,0.34,0.5218,0.0881,6.2144,2.1951,21.8181,0
3,16.06,0.6353,1.9649,16,9,0.0415,0.1932,0.5597,6.8635,1.8339,52.2476,1
4,21.58,0.9302,5.2759,13,1,0.0528,0.4357,0.1213,2.4222,1.5649,67.73,1
2,18.52,0.9698,7.2763,1,11,0.7622,0.355,0.192,5.3335,1.7468,72.2963,1
2,15.86,0.3344,5.1931,9,4,0.8052,0.1115,0.085,3.49,1.8166,52.526,0
2,27.99,0.9226,5.0237,0,9,0.7371,0.022,0.4748,2.6906,2.3411,1.4404,0
2,22.22,0.485,0.854,7,4,0.518,0.3685,0.2366,3.868,1.3583,8.9875,0
2,23.06,0.0619,5.7681,10,6,0.0365,0.0316,0.8342,0.9438,0.5903,52.548,0
3,7.87,0.4217,0.3992,2,2,0.5776,0.3425,0.3324,2.5243,0.7132,44.0158,0
4,29.1,0.8651,6.0079,7,8,0.2852,0.3785,0.4556,3.8561,2.0156,33.8302,1
2,27.74,0.0562,4.8563,15,4,0.1646,0.0383,0.3174,1.7626,1.5306,12.2841,0
3,15.98,0.8607,6.9492,4,6,0.9326,0.3454,0.1261,4.6538,2.0327,48.77,1
3,19.46,0.8992,6.2351,13,1,0.845,0.2858,0.6698,3.219,1.096,75.0574,0
2,20.87,0.9442,9.9551,15,12,0.148,0.5908,0.2091,1.0428,0.9071,92.2873,1
2,16.96,0.021,0.3443,11,9,0.8167,0.5311,0.0867,4.3069,2.3265,46.5567,0
4,22.54,0.9413,6.7662,13,10,0.9382,0.1653,0.3322,5.6065,2.0306,111.5284,1
2,23.94,0.7385,0.6379,18,5,0.2828,0.1827,0.9829,5.1422,1.9354,117.1941,0
2,26.09,0.1807,9.4769,1,8,0.5931,0.2935,0.1333,1.9404,1.0834,110.9171,1
2,8.68,0.3694,6.6374,16,10,0.0574,0.35,0.8843,1.2139,1.6956,79.7687,1
2,15.14,0.0074,6.9172,14,14,0.7503,0.1864,0.5145,6.8547,1.4338,43.1664,0
2,21.52,0.4436,9.3888,11,13,0.9667,0.4183,0.0832,6.9037,1.4611,8.2505,0
3,6.12,0.8265,5.5769,14,6,0.9718,0.3076,0.2909,3.7553,2.2157,36.5884,1
1,3.87,0.2979,7.8005,12,11,0.2275,0.0997,0.3327,7.5194,1.1861,118.5749,0
3,13.81,0.7097,9.8371,18,4,0.0967,0.4323,0.2818,1.4744,0.5787,2.6216,1
3,4.03,0.4677,6.059,5,10,0.0271,0.4701,0.0105,6.0951,2.2866,51.9408,1
2,26.62,0.8939,3.3582,15,7,0.931,0.0303,0.5473,7.1235,1.0254,56.6698,1
2,28.56,0.8236,7.09,12,2,0.8206,0.2354,0.4476,5.84,1.2155,7.6681,0
3,11.79,0.2587,3.4719,8,0,0.6252,0.5626,0.6797,4.5615,1.7204,113.0846,0
3,0.72,0.5341,6.8834,18,0,0.2131,0.5203,0.9558,1.8937,2.2652,11.6375,1
1,8.86,0.0906,6.68,17,0,0.8518,0.4903,0.0137,7.1658,0.5579,28.7575,0
1,10.08,0.5139,7.9664,12,11,0.7055,0.1125,0.7506,1.888,0.7871,22.2491,0
3,2.39,0.707,6.5435,16,12,0.2441,0.2701,0.9258,5.2799,1.2775,15.7695,1
2,17.44,0.7182,1.2442,18,2,0.5504,0.3084,0.6901,6.6996,1.146,106.6815,0
2,3.59,0.2303,1.0641,14,7,0.139,0.4484,0.0479,7.5882,1.9223,0.8156,0
3,15.42,0.7794,5.225,11,9,0.7863,0.2431,0.0027,6.7996,1.2618,59.5251,1
4,8.35,0.3954,6.8719,5,1,0.4174,0.1858,0.9378,5.4172,0.738,8.2713,0
2,6.6,0.254,8.7769,9,6,0.7154,0.1627,0.7603,5.7793,0.5148,61.0962,0
2,9.1,0.7166,3.5866,11,8,0.7777,0.515,0.8449,2.8774,1.8745,37.5401,1
1,21.05,0.0098,4.0918,19,11,0.6934,0.4597,0.3041,6.493,1.0878,53.5592,0
4,6.75,0.6623,6.0968,9,0,0.3968,0.2587,0.5693,0.0166,1.0214,62.1936,1
3,5.22,0.5469,7.1446,2,7,0.0271,0.2696,0.2964,7.4372,0.7492,78.2971,1
2,8.94,0.4551,1.6355,13,5,0.3018,0.5398,0.6284,3.5092,0.5775,59.9458,0
3,7.97,0.8068,2.5181,17,5,0.0853,0.5197,0.4992,2.3723,1.0302,51.8413,1
2,15.73,0.6669,2.6714,4,6,0.4357,0.0775,0.7423,5.1448,1.1315,74.5822,0
2,13.35,0.8994,1.3353,4,6,0.8211,0.5817,0.4539,4.056,1.6443,111.8818,0
2,13.92,0.7891,6.0289,10,0,0.9982,0.045,0.223,3.2632,1.1956,2.5975,0
1,20.43,0.8793,5.1423,2,14,0.2551,0.4607,0.7518,4.7069,0.9253,11.6422,1
3,25.75,0.4636,7.8427,9,1,0.3117,0.3152,0.0661,7.7805,1.2201,57.3441,1
2,20.48,0.6622,7.1532,11,9,0.3157,0.0752,0.6555,0.3184,1.6954,104.3635,1
2,2.31,0.6708,8.2126,5,13,0.9377,0.2112,0.4461,5.3733,1.1678,30.5111,1
3,0.75,0.7207,5.1402,13,14,0.6319,0.3162,0.5825,5.4703,2.0062,87.2943,1
2,28.43,0.3966,1.2487,5,11,0.1095,0.1217,0.9983,4.3309,1.0681,119.373,0
4,13.22,0.2604,8.384,7,6,0.6869,0.5359,0.6894,2.2704,1.8877,36.6976,1
1,15.39,0.3433,3.2857,5,12,0.3223,0.4661,0.0708,5.2831,2.1184,80.7398,1
2,28.51,0.2999,0.1917,0,4,0.0334,0.3479,0.1665,5.6978,0.8518,28.246,0
2,4.33,0.759,5.0062,15,7,0.1466,0.3876,0.2329,1.2541,1.8669,71.2422,1
3,9.28,0.448,4.0547,9,10,0.2922,0.1769,0.3545,4.5168,1.0046,109.8348,1
1,19.7,0.907,1.6875,3,3,0.4529,0.5674,0.6768,2.4127,0.8766,36.4482,0
1,4.32,0.1047,4.2294,0,4,0.1414,0.0782,0.6434,1.5775,0.6952,20.0218,0
2,20.31,0.6827,6.2873,6,12,0.039,0.2733,0.891,4.556,2.1648,118.9949,1
1,20.75,0.6743,9.7996,2,9,0.6867,0.1462,0.7986,0.8562,2.0614,109.2235,1
2,13.13,0.3104,7.6213,9,9,0.9405,0.5717,0.2393,4.9929,1.4482,105.0822,0
2,0.11,0.1626,3.4952,5,7,0.7914,0.4083,0.2996,3.662,0.6911,107.7776,0
1,17.39,0.9126,1.7735,15,8,0.8055,0.0461,0.4137,5.4311,0.9736,10.0755,0
3,18.91,0.9885,3.4431,9,0,0.2994,0.0601,0.2717,6.5276,1.2566,10.6076,0
1,29.59,0.8208,2.8148,8,11,0.1204,0.3485,0.9288,3.9739,2.1859,53.5064,1
3,21.96,0.174,3.6122,4,13,0.0707,0.2169,0.5348,7.9698,1.4491,97.9268,1
2,26.6,0.4109,6.043,6,1,0.4174,0.0866,0.0936,0.1334,2.2471,28.377,0
2,22.08,0.32,5.0604,14,8,0.1923,0.4304,0.6643,2.747,0.5382,82.7749,1
2,15.75,0.1996,7.5054,8,0,0.4427,0.4393,0.233,6.5051,1.6769,25.2916,1
2,18.84,0.8299,4.1563,14,12,0.0292,0.3247,0.0529,5.6092,0.6115,109.4073,1
2,3.92,0.291,8.6896,17,5,0.0007,0.3565,0.7193,4.95,0.6634,26.127,1
2,24.95,0.4632,4.8683,11,2,0.6371,0.5392,0.4565,1.1955,2.3599,55.0446,0
1,14.05,0.8531,9.3358,1,2,0.5173,0.0505,0.9846,5.3313,1.0708,70.297,0
1,28.98,0.1748,6.4803,10,8,0.7176,0.4661,0.6734,4.916,2.2849,9.4352,0
4,11.68,0.7326,6.8473,13,12,0.239,0.1688,0.4111,1.8746,0.5393,105.5272,1
4,10.25,0.3385,0.0709,5,14,0.8254,0.088,0.1597,6.3207,1.7326,5.3833,0
2,23.09,0.8109,4.0036,9,10,0.4065,0.4631,0.4839,7.1803,2.3155,10.49,1
4,24.77,0.7913,2.0091,4,8,0.9409,0.1097,0.5674,3.0161,2.4299,32.825,0
2,15.08,0.2578,7.0136,2,1,0.6659,0.4936,0.0133,4.3361,1.4191,59.8762,0
1,20.53,0.5032,7.6515,5,8,0.1494,0.389,0.1724,6.9792,1.7262,18.8645,1
1,18.8,0.2532,8.0369,2,11,0.9789,0.3011,0.455,6.0278,0.7649,65.6299,0
2,2.68,0.418,8.5328,6,8,0.0992,0.0544,0.2627,6.9981,0.7578,86.3996,1
2,23.67,0.2337,6.392,15,8,0.7632,0.4813,0.3851,3.3431,0.589,34.6964,0
2,3.51,0.4533,8.5318,14,0,0.0789,0.115,0.4745,2.8919,1.2175,63.5121,1
2,24.16,0.3386,0.5543,7,1,0.5879,0.5607,0.7261,7.3422,2.3167,72.5489,0
2,16.72,0.9783,7.7317,10,10,0.7784,0.1023,0.4474,1.6837,1.8792,105.2772,1
2,20.17,0.3288,2.7811,8,5,0.4578,0.4557,0.206,5.6744,0.5423,50.272,0
3,10.16,0.5637,2.0498,1,14,0.0523,0.5115,0.1982,6.9952,1.2051,86.722,1
1,5.36,0.493,0.8194,15,7,0.9438,0.5859,0.3763,7.3863,1.5896,32.3691,0
3,19.77,0.9891,2.6505,9,5,0.052,0.0682,0.0039,7.9957,2.1045,94.4068,0
1,8.54,0.376,7.5631,17,10,0.0775,0.0108,0.1023,3.284,2.3664,76.4883,1
3,13.99,0.3617,1.084,10,4,0.7565,0.0571,0.0275,3.229,2.4872,20.9861,0
3,15.16,0.68,2.0287,9,10,0.9956,0.3994,0.4935,7.3854,0.5317,87.5908,0
3,1.85,0.4501,2.0472,2,4,0.6495,0.1816,0.46,2.2347,1.2388,19.1448,0
2,21.69,0.5078,4.9911,13,11,0.2411,0.0094,0.3601,0.7186,1.0137,11.102,1
1,5.97,0.9998,0.0218,0,1,0.8422,0.1256,0.0725,5.6262,1.3051,110.4048,0
4,7.76,0.3372,4.0226,7,9,0.8888,0.4155,0.2435,7.4533,0.7097,32.1531,0
2,16.97,0.0153,7.8057,6,14,0.4064,0.4856,0.3793,0.3778,0.8529,114.7084,1
2,14.8,0.004,5.0116,14,9,0.9721,0.0955,0.3542,3.3559,1.2814,79.8997,0
2,6.63,0.7292,5.0029,18,1,0.1692,0.1125,0.0106,0.7314,1.6137,107.0248,0
1,11.66,0.0372,9.176,14,13,0.2155,0.0723,0.8515,1.2529,2.4495,101.1046,0
2,29.44,0.0974,3.0307,1,8,0.6644,0.2717,0.8355,7.6929,2.0502,74.6324,0
2,24.12,0.5089,0.6244,19,0,0.4444,0.085,0.1025,4.2837,0.6703,36.3534,0
3,28.93,0.7179,9.9263,17,8,0.2938,0.4032,0.7022,2.9738,0.5354,84.384,1
1,16.97,0.5039,0.1351,1,14,0.8088,0.2171,0.5243,5.3658,1.0389,33.3027,0
4,21.71,0.5772,6.4772,9,5,0.6181,0.3057,0.5457,2.8754,0.6629,23.2007,1
2,1.58,0.0376,7.1718,3,6,0.4215,0.0566,0.1257,3.3155,2.0249,108.0375,1
3,3.16,0.672,6.3543,3,3,0.0731,0.1642,0.98,4.7701,1.9195,0.8829,1
2,27.62,0.9684,5.4055,8,1,0.945,0.4042,0.0649,3.7258,0.9805,56.3765,0
2,17.46,0.3568,1.6427,14,0,0.8302,0.3984,0.3384,7.4842,2.3244,25.1218,0
2,0.84,0.2467,4.5961,5,2,0.9918,0.1597,0.8332,3.4143,1.7975,87.2722,0
3,4.22,0.443,5.6144,15,7,0.4406,0.5142,0.6842,7.0595,0.907,104.8033,0
2,28.22,0.0478,3.5223,11,6,0.3961,0.1195,0.4248,3.0844,2.3308,91.4321,0
2,29.65,0.4653,0.5824,5,7,0.4361,0.0941,0.9476,6.1348,1.0366,70.8965,0
3,15.46,0.7747,5.6214,4,6,0.1147,0.0757,0.5295,2.1509,0.5421,86.7407,1
1,17.86,0.5392,9.6881,7,0,0.0636,0.331,0.8411,7.9748,1.3607,38.4358,0
1,10.42,0.2652,6.8609,16,10,0.268,0.4869,0.0554,4.305,0.6411,112.084,1
3,19.74,0.8239,6.4752,8,13,0.65,0.4523,0.622,4.3206,1.9992,87.3076,1
2,29.11,0.1124,2.685,19,10,0.4244,0.4288,0.6038,2.3914,1.3216,26.124,1
4,3.92,0.3718,0.2584,9,0,0.963,0.3646,0.9834,6.7289,0.5719,79.008,0
2,10.47,0.9232,2.0664,0,11,0.0305,0.0545,0.8547,5.0444,1.9945,25.1301,0
2,22.12,0.6273,4.717,15,6,0.0667,0.5991,0.0248,6.682,1.2307,100.9939,1
4,0.27,0.0754,2.5036,5,10,0.8883,0.276,0.607,1.508,2.1099,116.0794,0
2,14.84,0.0861,5.5914,18,5,0.1444,0.2652,0.3341,4.1746,1.6713,1.0195,1
2,1.59,0.7549,9.5518,16,5,0.6079,0.242,0.6765,1.5195,2.1375,14.0027,1
3,10.23,0.7475,5.4976,0,13,0.1694,0.3821,0.9748,6.6048,0.62,45.1475,1
3,27.38,0.8738,5.0182,13,0,0.4707,0.0295,0.1911,6.3241,1.4079,36.1995,1
2,25.63,0.749,2.7232,13,11,0.252,0.5525,0.5816,4.2678,1.6928,43.9234,1
1,3.87,0.5369,9.3657,10,6,0.8695,0.4585,0.2478,0.2907,0.7037,87.4193,1
1,11.14,0.5017,7.2547,15,5,0.4064,0.291,0.5408,6.5469,0.8434,96.9398,1
3,12.36,0.1384,6.6577,17,8,0.6394,0.2028,0.9069,4.699,0.6708,53.9765,1
3,23.82,0.4946,8.9475,10,14,0.2631,0.4346,0.1896,7.1379,1.3619,23.7604,1
2,17.57,0.5212,1.4978,9,4,0.2962,0.3434,0.4419,2.7738,1.9929,107.2212,0
3,9.96,0.7444,1.5198,0,7,0.8077,0.1478,0.0633,1.0537,2.2175,76.054,0
2,19.66,0.2332,8.644,10,12,0.6941,0.0097,0.3727,2.8137,1.587,8.7284,0
3,6.53,0.677,8.0321,9,9,0.6619,0.2133,0.8089,2.3576,1.6424,89.4477,0
2,24.54,0.9299,5.4508,3,11,0.9033,0.0591,0.2321,5.6712,2.1475,102.8435,0
2,2.68,0.4378,2.3073,4,0,0.8868,0.5333,0.7457,0.2813,1.6501,94.39,0
3,14.22,0.0041,0.1101,9,7,0.155,0.3987,0.7088,1.423,2.2771,53.0289,0
1,22.93,0.79,6.393,6,12,0.7374,0.5293,0.4339,5.9808,2.4995,86.9917,1
2,5.23,0.9629,1.7558,5,6,0.9152,0.2791,0.0632,4.7855,1.7037,7.7401,0
4,16.32,0.5598,5.2012,14,7,0.3283,0.0677,0.87,5.0888,0.8295,51.5798,1
2,29.68,0.0547,3.5502,6,4,0.5031,0.1896,0.7292,6.998,2.3774,96.6112,0
